average_voltage,max_delta_volume,capacity_grav,capacity_vol,energy_grav,energy_vol,working_ion,formula_charge,id_charge,formula_discharge,id_discharge,fracA_charge,fracA_discharge,stability_charge,stability_discharge,battery_id,battery_type
0.1924746049999988,0.0252053213802643,177.4117151206641,358.2766388130971,34.14724979022213,68.9591545362781,Li,C,mp-568806,LiC12,mp-1021323,0.0,0.0769230769230769,0.0061747324999998,0.0,mp-1001581_Li,intercalation
-0.0169799300000073,0.0244831965584766,169.61846407736235,367.0483961834685,-2.880109646742366,-6.232456073810243,Li,LiC12,mp-1021323,LiC6,mp-1001581,0.0769230769230769,0.1428571428571428,0.0,0.0012128521428564,mp-1001581_Li,intercalation
-1.85232071,12.61289530673325,158.73874442371934,81.06464025564127,-294.0350637754524,-150.157711994224,Li,InBi,mp-1001833,Li2InBi,mp-1096733,0.0,0.5,0.0287156158333332,1.3012035925,mp-1001833_Li,intercalation
-1.7982269649999998,17.70472522428131,144.9598721904328,58.99709552779269,-260.67075101578985,-106.09016803475772,Na,InBi,mp-1001833,Na2InBi,mp-1096344,0.0,0.5,0.0287156158333332,1.1805264658333334,mp-1001833_Na,intercalation
-1.5939070000000002,13.165226414928004,157.64404211245255,80.21975366961452,-251.26994223133292,-127.86282691227429,Li,TlSb,mp-1002219,Li2TlSb,mp-1097580,0.0,0.5,0.1382806613095235,1.2888021933928575,mp-1002219_Li,intercalation
1.0730205330000002,0.4777214901224522,187.80091229936653,549.5141853948974,201.51423501335256,589.6400041034938,K,RbSb,mp-1002227,K2RbSb,mp-976148,0.0,0.5,0.7425397562500002,0.0111895441666667,mp-1002227_K,intercalation
1.1117560050000004,0.1537158571134633,211.695928788405,703.8378781729037,235.35422006456173,782.4959876051844,Na,RbSb,mp-1002227,RbNa2Sb,mp-975275,0.0,0.5,0.7425397562500002,0.0136764358333327,mp-1002227_Na,intercalation
0.4881555303448275,5.404749371393123,212.61825990761923,739.7069876249052,103.79077942619824,361.0920568438103,Rb,Sb,mp-10631,Rb3Sb,mp-33018,0.0,0.75,0.3117150749999999,0.0341870274999998,mp-1002227_Rb,intercalation
2.7272160350000063,0.2255463638471369,144.07369927992212,583.1277596422855,392.92010289797247,1590.3153765500704,Mg,MnO2,mp-25547,MgMn4O8,mp-1003484,0.0,0.0769230769230769,0.0127184991666666,0.0368602482211528,mp-1002568_Mg,intercalation
2.4198901750000004,0.0524103878896482,135.2389671979851,554.0878029640184,327.26344799955143,1340.831630479964,Mg,MgMn4O8,mp-1003484,MgMn2O4,mp-1002568,0.0769230769230769,0.1428571428571428,0.0368602482211528,0.0649214614285709,mp-1002568_Mg,intercalation
2.064395494999997,0.0525995101893277,240.9298529366324,1052.7988994871494,497.3745030133958,2173.393305242226,Mg,MgMn2O4,mp-1002568,MgMnO2,mp-1080243,0.1428571428571428,0.25,0.0649214614285709,0.0251172849999994,mp-1002568_Mg,intercalation
2.0654366199999994,0.4741295879242222,481.8597058732648,2059.11172519966,995.25068221307,4252.964761898754,Mg,MnO2,mp-33009,MgMnO2,mp-1002569,0.0,0.25,0.0314388208333333,0.165926366249999,mp-1002569_Mg,intercalation
3.7146949980000135,0.063696802075541,69.28210069775021,223.6588674364376,257.3618729128659,830.8244761244827,K,MnO2,mp-25547,KMn4O8,mp-1003312,0.0,0.0769230769230769,0.0127184991666666,0.0089770387179344,mp-1002570_K,intercalation
2.3811010579999987,0.002118393031667,62.92254994717769,223.1860716175578,149.82495025128256,531.4285912594304,K,KMn4O8,mp-1003312,KMn2O4,mp-1003314,0.0769230769230769,0.1428571428571428,0.0089770387179344,-2.664535259100376e-15,mp-1002570_K,intercalation
1.554484767999995,0.1620752117100696,106.3254275474101,384.1163968881582,165.28125757353604,597.1030881016825,K,KMn2O4,mp-1003314,KMnO2,mp-1002570,0.1428571428571428,0.25,-2.664535259100376e-15,0.0375577056249998,mp-1002570_K,intercalation
2.8169841949999985,0.0003525910317263,68.07124454246677,255.99304488168704,191.7556200101088,721.1283614616376,Na,NaMn4O8,mp-1016155,NaMn2O4,mp-1002571,0.0769230769230769,0.1428571428571428,0.0019829911538344,0.0062743982142725,mp-1002571_Na,intercalation
1.898535075000001,0.0653803840267535,121.90624414203351,480.5664694409441,231.443280365164,912.3722981025484,Na,NaMn2O4,mp-1002571,NaMnO2,mp-775113,0.1428571428571428,0.25,0.0062743982142725,0.030077034375,mp-1002571_Na,intercalation
3.231368668333332,0.2584134563066094,218.1522130691809,904.5310695820336,704.9302262393284,2922.8733577814205,Li,MnO2,mp-33009,Li3Mn4O8,mp-1003769,0.0,0.2,0.0314388208333333,0.0615629461041535,mp-1002572_Li,intercalation
2.900490374999994,0.0401515092825064,71.37328662649226,289.8715752816871,207.01753089225664,840.7697140906198,Li,Li3Mn4O8,mp-1003769,LiMnO2,mp-1002572,0.2,0.25,0.0615629461041535,0.0370201125000004,mp-1002572_Li,intercalation
4.2725635730000135,0.0223339819150734,36.48480065445984,151.1202541643161,155.88363024441216,645.6708930849604,K,MnO2,mp-19395,KMn8O16,mp-1016153,0.0,0.04,0.0,0.0,mp-1003316_K,intercalation
3.544521713000024,0.0017721592406816,11.949596710137572,50.28430625677779,42.35560500067628,178.23381535029182,K,KMn8O16,mp-1016153,KMn6O12,mp-761493,0.04,0.0526315789473684,0.0,-8.881784197001252e-16,mp-1003316_K,intercalation
