max_delta_volume,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,fracA_charge,fracA_discharge,formula_charge,formula_discharge,stability_charge,stability_discharge,id_charge,id_discharge,battery_id,working_ion,battery_type
0.05798067526371464,4.321407745000005,157.5225282330018,359.33106169150375,680.7190735180758,1552.8160330127387,0.0,0.1,Co(GeO3)2,CaCo(GeO3)2,0.16777887759259702,0.0,mp-1043245,mp-1043203,mp-1043203_Ca,Ca,insertion
0.13228917344205748,3.210683245000001,56.585386768698605,57.92905537864904,181.67775321010538,185.99184750290567,0.0,0.04,MnAgO4,CaMn4(AgO4)4,0.17011033111111207,0.2098149957166644,mp-608357,mp-1233090,mp-608357_Ca,Ca,insertion
0.01678111865568832,4.5778653016666695,92.78697683972521,185.10963197533843,424.7662817211269,847.4069612241889,0.061224489795918366,0.11538461538461539,Ca3Cu6(AsO4)8,Ca3Cu3(AsO4)4,0.12192256829082293,0.02337343384615931,mp-1351940,mp-555937,mp-555937_Ca,Ca,insertion
0.10610361666014101,4.738932246250001,141.06157784636605,164.29434136023792,668.4812599630488,778.5797521484367,0.0,0.125,VBiO5,CaVBiO5,0.2897175960714282,0.009256762031250254,mp-1372756,mp-1044259,mp-1044259_Ca,Ca,insertion
0.043449182518312535,4.0591827474999915,135.75579098331445,393.1433430892917,551.057564632685,1595.8406755625228,0.0,0.1,Pr(CoO3)2,CaPr(CoO3)2,0.1733363318750003,0.0460773714687539,mp-1376950,mp-1044741,mp-1044741_Ca,Ca,insertion
0.06085468834094776,3.8911651950000157,92.12671807345812,168.33472600085864,358.48027889701916,655.0182269244053,0.0,0.05555555555555555,TiBi(PO4)3,CaTiBi(PO4)3,0.07265086220587591,0.09871232336111202,mp-1043764,mp-1043757,mp-1043757_Ca,Ca,insertion
0.08256626676306089,1.5853441912500008,429.64496180601475,169.15606647722367,681.1351444989939,268.17058740436556,0.25,0.45454545454545453,CaCoN2,Ca5(CoN2)2,0.627121846875009,0.0,mp-1360796,mp-569383,mp-569383_Ca,Ca,insertion
0.009279631740102934,4.5986944799999945,73.33568964673276,74.98339341697202,337.2484311654227,344.8257173982972,0.047619047619047616,0.09090909090909091,CaCu2(As2O7)2,CaCuAs2O7,0.08212911601190243,0.04963522681818322,mp-1354988,mp-6203,mp-6203_Ca,Ca,insertion
0.07484992910252308,4.020413981250004,151.45797736994697,143.84416022737747,608.9237697899816,578.3130728993142,0.0,0.09090909090909091,CrAs2O7,CaCrAs2O7,0.1316377182083368,0.08156927267044622,mp-1042757,mp-1042764,mp-1042757_Ca,Ca,insertion
0.10992253154956955,0.3452640299999983,37.652688520826885,63.887724134569005,13.000118979035365,22.058133102229448,0.0,0.047619047619047616,YBiO3,CaY4(BiO3)4,0.16573472787499988,0.3171961250000024,mp-1369528,mp-1233241,mp-1233241_Ca,Ca,insertion
0.011880855091206843,3.474194424999996,83.72336130507627,170.547439571341,290.87123508835634,592.5149637567765,0.23809523809523808,0.2727272727272727,Ca5Sc2(CoO6)2,Ca3ScCoO6,0.026793941031744595,0.0,mp-1336958,mp-561991,mp-561991_Ca,Ca,insertion
0.12380571937492535,4.311320195000003,217.02245568685947,220.2885805130663,935.6532959712505,949.734605893867,0.0,0.125,CrAsO5,CaCrAsO5,0.18272346404762008,0.07203492187504779,mp-1337174,mp-1343018,mp-1337174_Ca,Ca,insertion
0.006213901709460012,4.234865615000007,157.5225282330018,182.5732030582293,667.086738401807,773.1729798517093,0.0,0.1,Co(GeO3)2,CaCo(GeO3)2,0.17182692870370797,0.02095167199999981,mp-1353855,mp-1043170,mp-1043170_Ca,Ca,insertion
0.10057675147116418,5.179136741249997,105.1031716712249,83.03168912711068,544.3436980243467,430.03247184626684,0.0,0.125,TaBiO5,CaTaBiO5,0.4878558732142828,0.027501507916666057,mp-1042409,mp-1042364,mp-1042364_Ca,Ca,insertion
0.06249856829086897,4.314655602499999,55.6088191073375,229.99727297707616,239.93290290988276,992.3590224102634,0.0,0.07142857142857142,Ta2Bi2O9,CaTa2Bi2O9,0.090178352307694,0.0,mp-1345265,mp-556697,mp-556697_Ca,Ca,insertion
0.034097235356374656,4.025664164999998,140.6711751317808,165.1917062695711,566.2949087764488,665.0063322846179,0.0,0.125,CrBiO5,CaCrBiO5,0.1381128095714237,0.0347867445312513,mp-1044207,mp-1044358,mp-1044207_Ca,Ca,insertion
0.10576050023134043,0.9567844699999979,55.6088191073375,470.40012512983594,53.20565451693967,450.07153441028277,0.0,0.07142857142857142,Ta2Bi2O9,CaTa2Bi2O9,0.30510413615384735,0.67926981821428,mp-1388761,mp-556848,mp-556848_Ca,Ca,insertion
0.07833360715889048,3.8488301437499954,105.31560323428698,119.83971477010223,405.34186833533823,461.24270662557103,0.14285714285714285,0.2,Ca2Nb2CoO9,Ca3Nb2CoO9,0.10198561874999967,0.0,mp-1364209,mp-561965,mp-561965_Ca,Ca,insertion
0.012010124059050664,4.0029349743750045,93.56380611353106,71.0432207643346,374.52983182749534,284.38139308979953,0.0,0.09090909090909091,Ta2CoO7,CaTa2CoO7,0.3271543740000027,0.2352104171590934,mp-1366075,mp-1366347,mp-1366075_Ca,Ca,insertion
0.07450588321752605,4.1036737975000035,122.92162663731337,291.51394873635184,504.4302583776213,1196.2781530351263,0.1111111111111111,0.2,CaVBiO6,Ca2VBiO6,0.12959957791665477,0.0,mp-1374254,mp-554381,mp-554381_Ca,Ca,insertion
