voltage,max_delta_volume,capacity_grav,capacity_vol,energy_grav,energy_vol,working_ion,formula_charge,id_charge,formula_discharge,id_discharge,fracA_charge,fracA_discharge,stability_charge,stability_discharge,battid
0.1924746049999988,0.025205321380264323,177.4117151206641,358.2766388130971,34.14724979022213,68.9591545362781,Li,C,mp-568806,LiC12,mp-1021323,0.0,0.07692307692307693,0.006174732499999891,0.0,mp-1001581_Li
-0.016979930000007304,0.02448319655847664,169.61846407736235,367.0483961834685,-2.880109646742366,-6.232456073810243,Li,LiC12,mp-1021323,LiC6,mp-1001581,0.07692307692307693,0.14285714285714285,0.0,0.001212852142856491,mp-1001581_Li
-1.8523207099999999,12.61289530673325,158.73874442371934,81.06464025564127,-294.03506377545233,-150.157711994224,Li,InBi,mp-1001833,Li2InBi,mp-1096733,0.0,0.5,0.028715615833333263,1.3012035925,mp-1001833_Li
-1.7982269649999998,17.70472522428131,144.9598721904328,58.99709552779269,-260.67075101578985,-106.09016803475771,Na,InBi,mp-1001833,Na2InBi,mp-1096344,0.0,0.5,0.028715615833333263,1.1805264658333334,mp-1001833_Na
-1.5939070000000002,13.165226414928005,157.64404211245255,80.21975366961452,-251.26994223133295,-127.86282691227429,Li,TlSb,mp-1002219,Li2TlSb,mp-1097580,0.0,0.5,0.13828066130952354,1.2888021933928577,mp-1002219_Li
1.0730205330000002,0.47772149012245224,187.80091229936653,549.5141853948974,201.51423501335256,589.6400041034938,K,RbSb,mp-1002227,K2RbSb,mp-976148,0.0,0.5,0.7425397562500002,0.011189544166666732,mp-1002227_K
1.1117560050000004,0.15371585711346336,211.695928788405,703.8378781729037,235.35422006456173,782.4959876051844,Na,RbSb,mp-1002227,RbNa2Sb,mp-975275,0.0,0.5,0.7425397562500002,0.013676435833332778,mp-1002227_Na
0.4881555303448275,5.404749371393123,212.61825990761923,739.7069876249052,103.79077942619824,361.0920568438103,Rb,Sb,mp-10631,Rb3Sb,mp-33018,0.0,0.75,0.31171507499999995,0.0341870274999998,mp-1002227_Rb
2.7272160350000063,0.2255463638471369,144.07369927992212,583.1277596422855,392.92010289797247,1590.3153765500704,Mg,MnO2,mp-25547,MgMn4O8,mp-1003484,0.0,0.07692307692307693,0.012718499166666675,0.03686024822115286,mp-1002568_Mg
2.4198901750000004,0.05241038788964825,135.2389671979851,554.0878029640184,327.26344799955143,1340.8316304799641,Mg,MgMn4O8,mp-1003484,MgMn2O4,mp-1002568,0.07692307692307693,0.14285714285714285,0.03686024822115286,0.06492146142857091,mp-1002568_Mg
2.064395494999997,0.052599510189327736,240.92985293663241,1052.7988994871494,497.3745030133958,2173.393305242226,Mg,MgMn2O4,mp-1002568,MgMnO2,mp-1080243,0.14285714285714285,0.25,0.06492146142857091,0.025117284999999434,mp-1002568_Mg
2.0654366199999994,0.4741295879242222,481.85970587326483,2059.11172519966,995.2506822130699,4252.964761898754,Mg,MnO2,mp-33009,MgMnO2,mp-1002569,0.0,0.25,0.03143882083333338,0.165926366249999,mp-1002569_Mg
3.7146949980000135,0.06369680207554107,69.28210069775021,223.65886743643756,257.3618729128659,830.8244761244827,K,MnO2,mp-25547,KMn4O8,mp-1003312,0.0,0.07692307692307693,0.012718499166666675,0.008977038717934427,mp-1002570_K
2.3811010579999987,0.002118393031667054,62.92254994717769,223.18607161755781,149.82495025128256,531.4285912594304,K,KMn4O8,mp-1003312,KMn2O4,mp-1003314,0.07692307692307693,0.14285714285714285,0.008977038717934427,-2.6645352591003757e-15,mp-1002570_K
1.5544847679999947,0.16207521171006967,106.3254275474101,384.1163968881582,165.28125757353604,597.1030881016825,K,KMn2O4,mp-1003314,KMnO2,mp-1002570,0.14285714285714285,0.25,-2.6645352591003757e-15,0.037557705624999826,mp-1002570_K
2.8169841949999985,0.000352591031726357,68.07124454246677,255.99304488168704,191.7556200101088,721.1283614616376,Na,NaMn4O8,mp-1016155,NaMn2O4,mp-1002571,0.07692307692307693,0.14285714285714285,0.00198299115383449,0.0062743982142725585,mp-1002571_Na
1.898535075000001,0.0653803840267535,121.90624414203351,480.56646944094405,231.44328036516401,912.3722981025484,Na,NaMn2O4,mp-1002571,NaMnO2,mp-775113,0.14285714285714285,0.25,0.0062743982142725585,0.03007703437500009,mp-1002571_Na
3.231368668333332,0.2584134563066094,218.1522130691809,904.5310695820336,704.9302262393284,2922.8733577814205,Li,MnO2,mp-33009,Li3Mn4O8,mp-1003769,0.0,0.2,0.03143882083333338,0.06156294610415358,mp-1002572_Li
2.9004903749999946,0.04015150928250644,71.37328662649226,289.8715752816871,207.01753089225664,840.7697140906198,Li,Li3Mn4O8,mp-1003769,LiMnO2,mp-1002572,0.2,0.25,0.06156294610415358,0.03702011250000048,mp-1002572_Li
4.2725635730000135,0.02233398191507341,36.48480065445984,151.12025416431607,155.88363024441216,645.6708930849604,K,MnO2,mp-19395,KMn8O16,mp-1016153,0.0,0.04,0.0,0.0,mp-1003316_K
3.544521713000024,0.0017721592406816367,11.949596710137572,50.28430625677779,42.35560500067628,178.23381535029182,K,KMn8O16,mp-1016153,KMn6O12,mp-761493,0.04,0.05263157894736842,0.0,-8.881784197001252e-16,mp-1003316_K
2.6004102979999995,0.009492145660570994,23.094033565916742,99.62297670750829,60.05396270716754,259.0606145476186,K,KMn6O12,mp-761493,KMn4O8,mp-1003316,0.05263157894736842,0.07692307692307693,-8.881784197001252e-16,0.006533513333319085,mp-1003316_K
