num,symbol,number,row,group,atomic_mass,molar_volume,atomic_radius,ionic_radius,covalent_radius,van_der_waals_radius,electron_negativity,electron_affinity,electrical_resistivity,thermal_cond,boiling_point,melting_point,Tc,enthalpy_of_fusion,first_ionization_energy,second_ionization_energy,s,p,d,f,Omax,Omin,valance,block,electron_shell,metal,noble_gas,alkali_metal,rare_earth_metal,Over_metal,Lanthanide_metals,actinoid,Halogen,alkaline,poissons_ratio,bulk_modulus,youngs_modul,rigidity_modul,thermal_expansion
78,Au,79,6,11,196.966569,10.21,2.14,1.07,1.3,245,2.54,222.749,2.20E-08,320,3129,1337.33,0,12.5,890,1980,1,0,10,14,5,-1,5,d,2.8.18.32.18.1,1,0,0,0,1,0,0,0,0,0.44,220,78,27,1.42E-05
79,Hg,80,6,12,200.59,14.09,2.23,1.245,1.32,247,2,0,9.60E-07,8.3,629.88,234.32,1750,2.29,1007.1,1810,2,0,10,14,4,1,2,d,2.8.18.32.18.2,1,0,0,0,1,0,0,0,0,,25,,,
80,Tl,81,6,13,204.3833,17.22,1.96,1.3325,1.44,260,1.62,36.375,1.50E-07,46,1746,577,0,4.2,589.4,1971,2,1,10,14,3,1,3,p,2.8.18.32.18.3,1,0,0,0,0,0,0,0,0,0.45,43,8,2.8,2.99E-05
81,Pb,82,6,14,207.2,18.26,2.02,1.1225,1.45,254,2.33,35.121,2.10E-07,35,2022,600.61,0,4.77,715.6,1450.5,2,2,10,14,4,-4,4,p,2.8.18.32.18.4,1,0,0,0,0,0,0,0,0,0.44,46,16,5.6,2.89E-05
82,Bi,83,6,15,208.9804,21.31,2.07,1.035,1.5,280,2.02,90.924,1.30E-06,8,1837,544.4,0,10.9,703,1610,2,3,10,14,5,-3,5,p,2.8.18.32.18.5,1,0,0,0,0,0,0,0,0,0.33,31,32,12,1.34E-05
83,Po,84,6,16,210,22.97,1.97,0.945,1.42,293,1.99,183.3,4.00E-07,20,1235,527,0,13,812.1,,2,4,10,14,6,-2,6,p,2.8.18.32.18.6,1,0,0,0,0,0,0,0,0,,,,,
84,At,85,6,17,210,33,2.02,0.76,1.48,288,2.22,270.2,0,2,575,575,0,6,920,,2,5,10,14,5,-1,7,p,2.8.18.32.18.7,0,0,0,0,0,0,0,1,0,,,,,
85,Rn,86,6,18,220,50.5,2.2,0,1.46,271,2.43,0,0,0.00361,211.3,202,377,3,1037,,2,6,10,14,0,0,6,p,2.8.18.32.18.8,0,1,0,0,0,0,0,0,0,,,,,
86,Fr,87,7,1,223,77,3.48,1.94,2.42,282,0.71,44.38,0,15,300,300,0,2,380,,1,0,0,0,1,1,1,s,2.8.18.32.18.8.1,1,0,1,0,0,0,0,0,0,,,,,
87,Ra,88,7,2,226,41.09,2.83,1.62,2.11,281,0.92,9.65,1.00E-06,19,2010,973,0,8,509.3,979,2,0,0,0,2,2,2,s,2.8.18.32.18.8.2,1,0,0,0,0,0,0,0,1,,,,,
